node_type,phase,batch_size,token_length,group_size,latency_ms,peak_memory_gb,idle_ms,tag,rho,slowdown,slowdown_pct
edge_fast,decode,8,2048,28,12.36533501651138,7.966894626617432,9.574528987286612,0p60,0.58975,1.2914823311862647,29.148233118626464
edge_fast,prefill,1,128,28,13.23451049393043,2.925077438354492,9.655238507548347,0p70,0.6965,1.3707077752231445,37.070777522314444
edge_fast,decode,1,128,28,10.20207500550896,2.9250259399414062,8.546328492229804,0p70,0.6965,1.1937377570713008,19.37377570713008
edge_fast,prefill,1,512,28,23.360035993391648,3.04446792602539,17.43668701965362,0p70,0.6965,1.3397061016844298,33.97061016844298
edge_fast,decode,1,512,28,10.177512507652864,3.043076515197754,7.807021989719942,0p70,0.6965,1.303635691183439,30.363569118343904
edge_fast,prefill,1,2048,28,83.90052651520818,3.5248374938964844,58.13206150196493,0p70,0.6965,1.4432745777022247,44.327457770222466
edge_fast,decode,1,2048,28,10.486468527233228,3.561000347137451,7.888109510531649,0p70,0.6965,1.329401995906932,32.94019959069321
edge_fast,prefill,4,128,28,23.493467509979386,3.04446792602539,16.968926502158865,0p70,0.6965,1.3844993380689368,38.449933806893675
edge_fast,decode,4,128,28,11.355872004060076,3.044468879699707,8.309366996400058,0p70,0.6965,1.3666350287548839,36.66350287548838
edge_fast,prefill,4,512,28,80.01774549484253,3.5248374938964844,55.57264748495072,0p70,0.6965,1.4398764341128725,43.987643411287245
edge_fast,decode,4,512,28,11.624081496847792,3.56173038482666,8.380798011785373,0p70,0.6965,1.3869898165427206,38.69898165427206
edge_fast,prefill,4,2048,28,315.3435429849196,5.444850921630859,219.9476435198449,0p70,0.6965,1.4337209434865692,43.37209434865692
edge_fast,decode,4,2048,28,13.063314516330138,5.425539493560791,8.852863014908507,0p70,0.6965,1.475603371963521,47.56033719635211
edge_fast,prefill,8,128,28,39.81081550591625,3.204265594482422,27.880439505679533,0p70,0.6965,1.427912049155695,42.791204915569494
