method,max_abs_q_difference,mean_abs_q_difference,rank_correlation,stable_action,risky_action,action_changed,stable_node,risky_node,node_changed,stable_group,risky_group,group_changed,target_node_index,stable_target_margin,risky_target_margin,target_preference_shift,num_actions,sample,sample_seed
TMC-Stage1,0.05818986892700195,0.03639492392539978,1.0,1,1,0,6,6,0,1,1,0,4,-0.21876336634159088,-0.300651952624321,-0.0818885862827301,12,78,91079
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,79,91080
TMC-Stage1,2.384185791015625e-07,1.4901161193847656e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,79,91080
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,80,91081
TMC-Stage1,2.384185791015625e-07,1.1920928955078125e-07,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,80,91081
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.4696422815322876,0.4696422815322876,0.0,8,81,91082
TMC-Stage1,0.04325747489929199,0.04118414223194122,1.0,1,1,0,6,6,0,1,1,0,6,0.19668135046958923,0.11431306600570679,-0.08236828446388245,8,81,91082
MSN,0.0,0.0,1.0,2,2,0,6,6,0,1,1,0,5,-0.14051218466325244,-0.14051218466325244,0.0,15,82,91083
TMC-Stage1,0.07440793514251709,0.03807599544525146,0.9428571428571427,2,2,0,6,6,0,1,1,0,5,-0.16432174498384655,-0.2616751139814204,-0.09735336899757385,15,82,91083
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.31436705589294434,0.31436705589294434,0.0,8,83,91084
TMC-Stage1,0.0429384708404541,0.04025264084339142,1.0,0,0,0,6,6,0,1,1,0,6,0.1036880612373352,0.023182779550552368,-0.08050528168678284,8,83,91084
MSN,0.0,0.0,1.0,2,2,0,6,6,0,1,1,0,2,-0.14308567841847752,-0.14308567841847752,0.0,16,84,91085
TMC-Stage1,0.06702041625976562,0.03256881982088089,0.9647058823529412,2,2,0,6,6,0,1,1,0,2,0.005056480566660637,-0.08179369568824768,-0.08685017625490832,16,84,91085
MSN,0.0,0.0,1.0,1,1,0,6,6,0,1,1,0,6,0.5536862015724182,0.5536862015724182,0.0,8,85,91086
TMC-Stage1,0.05811500549316406,0.05756600201129913,0.9761904761904763,1,1,0,6,6,0,1,1,0,6,0.34545400738716125,0.230322003364563,-0.11513200402259827,8,85,91086
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,4,-0.3529019355773926,-0.3529019355773926,0.0,8,86,91087
TMC-Stage1,0.04029780626296997,0.039407335221767426,1.0,0,0,0,6,6,0,1,1,0,4,-0.17240417003631592,-0.25121884047985077,-0.07881467044353485,8,86,91087
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,87,91088
TMC-Stage1,0.000274658203125,0.0001373291015625,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,87,91088
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,88,91089
TMC-Stage1,0.00013625621795654297,6.812810897827148e-05,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,88,91089
MSN,0.0,0.0,1.0,0,0,0,6,6,0,1,1,0,6,0.0,0.0,0.0,4,89,91090
