episode_seed,mapping_id,node_id,group_size,batch_size,selected_matches_baseline,candidate_count,risk_reducing_count,best_relative_regret,best_absolute_regret,best_risk_reduction,best_candidate_ids,baseline_ids,accepted_rel_0p01,max_risk_reduction_rel_0p01,accepted_rel_0p02,max_risk_reduction_rel_0p02,accepted_rel_0p05,max_risk_reduction_rel_0p05,accepted_rel_0p1,max_risk_reduction_rel_0p1
20041,3,cloud_0,1,1,1,1,0,,,,,r0006,0,,0,,0,,0,
20041,4,cloud_0,1,3,1,1,0,,,,,r0002|r0015|r0019,0,,0,,0,,0,
20041,5,cloud_0,1,2,1,1,0,,,,,r0008|r0012,0,,0,,0,,0,
20041,6,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20042,0,cloud_0,1,1,1,1,0,,,,,r0002,0,,0,,0,,0,
20042,1,cloud_0,1,5,1,11,0,,,,,r0008|r0009|r0010|r0016|r0017,0,,0,,0,,0,
20042,2,cloud_0,1,5,1,1,0,,,,,r0000|r0001|r0014|r0018|r0023,0,,0,,0,,0,
20042,3,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20043,0,cloud_0,1,1,1,1,0,,,,,r0000,0,,0,,0,,0,
20043,1,cloud_0,1,2,1,1,0,,,,,r0002|r0014,0,,0,,0,,0,
20043,2,cloud_0,1,5,1,1,0,,,,,r0003|r0008|r0013|r0016|r0023,0,,0,,0,,0,
20043,3,cloud_0,1,2,1,2,1,0.07723462476389964,0.5654744859131053,0.02301950554392372,r0004|r0005,r0010|r0017,0,,0,,0,,1,0.02301950554392372
20043,4,cloud_0,1,2,1,1,0,,,,,r0004|r0005,0,,0,,0,,0,
20044,0,cloud_0,1,1,1,1,0,,,,,r0015,0,,0,,0,,0,
20044,1,cloud_0,1,7,1,28,0,,,,,r0000|r0001|r0002|r0007|r0013|r0017|r0021,0,,0,,0,,0,
20044,2,cloud_0,1,4,1,1,0,,,,,r0004|r0008|r0009|r0020,0,,0,,0,,0,
20045,0,cloud_0,1,1,1,1,0,,,,,r0000,0,,0,,0,,0,
20045,1,cloud_0,1,1,1,1,0,,,,,r0008,0,,0,,0,,0,
20045,2,cloud_0,1,2,1,1,0,,,,,r0002|r0015,0,,0,,0,,0,
20045,3,cloud_0,1,5,1,16,1,0.15303427423441043,1.2392930374039333,0.0012167718440103115,r0003|r0004|r0010|r0016|r0020,r0003|r0004|r0010|r0013|r0020,0,,0,,0,,0,
20045,4,cloud_0,1,3,1,1,0,,,,,r0016|r0017|r0021,0,,0,,0,,0,
20046,0,cloud_0,1,1,1,1,0,,,,,r0005,0,,0,,0,,0,
20046,1,cloud_0,1,3,1,7,0,,,,,r0000|r0015|r0016,0,,0,,0,,0,
20046,2,cloud_0,1,4,1,5,0,,,,,r0013|r0014|r0017|r0022,0,,0,,0,,0,
20046,3,cloud_0,1,4,1,1,0,,,,,r0001|r0004|r0012|r0019,0,,0,,0,,0,
20047,0,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20047,1,cloud_0,1,2,1,1,0,,,,,r0004|r0006,0,,0,,0,,0,
20047,2,cloud_0,1,1,1,1,0,,,,,r0022,0,,0,,0,,0,
20047,3,cloud_0,1,3,1,1,0,,,,,r0010|r0011|r0015,0,,0,,0,,0,
20047,4,cloud_0,1,2,1,2,1,0.12872803356466408,0.8169690675854246,0.009245738205204121,r0008|r0023,r0001|r0014,0,,0,,0,,0,
20047,5,cloud_0,1,3,1,1,0,,,,,r0003|r0008|r0023,0,,0,,0,,0,
20048,0,cloud_0,1,1,1,1,0,,,,,r0001,0,,0,,0,,0,
20048,1,cloud_0,1,2,1,1,0,,,,,r0000|r0007,0,,0,,0,,0,
20048,2,cloud_0,1,2,1,3,0,,,,,r0013|r0020,0,,0,,0,,0,
20048,3,cloud_0,1,1,1,1,0,,,,,r0008,0,,0,,0,,0,
20048,4,cloud_0,1,2,1,1,0,,,,,r0003|r0011,0,,0,,0,,0,
20048,5,cloud_0,1,2,1,4,0,,,,,r0005|r0021,0,,0,,0,,0,
20048,6,cloud_0,1,2,1,1,0,,,,,r0004|r0017,0,,0,,0,,0,
20049,0,cloud_0,1,1,1,1,0,,,,,r0001,0,,0,,0,,0,
20049,1,cloud_0,1,2,1,1,0,,,,,r0000|r0009,0,,0,,0,,0,
20049,2,cloud_0,1,3,1,3,2,0.27391751901420497,1.881448871658872,0.001428885303259523,r0002|r0008|r0019,r0002|r0020|r0021,0,,0,,0,,0,
20049,3,cloud_0,1,6,1,1,0,,,,,r0006|r0007|r0008|r0013|r0014|r0019,0,,0,,0,,0,
20050,0,cloud_0,1,1,1,1,0,,,,,r0019,0,,0,,0,,0,
20050,1,cloud_0,1,2,1,4,0,,,,,r0013|r0022,0,,0,,0,,0,
20050,2,cloud_0,1,5,1,1,0,,,,,r0000|r0003|r0009|r0012|r0020,0,,0,,0,,0,
20050,3,cloud_0,1,4,1,1,0,,,,,r0002|r0006|r0018|r0021,0,,0,,0,,0,
20051,0,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20051,1,cloud_0,1,5,1,11,4,0.019679571431826023,0.15467648858013483,0.04189995230380296,r0005|r0006|r0009|r0019|r0022,r0001|r0004|r0006|r0009|r0019,0,,1,0.04189995230380296,1,0.04189995230380296,1,0.06166968225993996
20051,2,cloud_0,1,3,1,1,0,,,,,r0005|r0014|r0022,0,,0,,0,,0,
20051,3,cloud_0,1,3,1,1,0,,,,,r0000|r0012|r0017,0,,0,,0,,0,
20052,0,cloud_0,1,1,1,1,0,,,,,r0011,0,,0,,0,,0,
20052,1,cloud_0,1,1,1,1,0,,,,,r0009,0,,0,,0,,0,
20052,2,cloud_0,1,1,1,1,0,,,,,r0023,0,,0,,0,,0,
20052,3,cloud_0,1,4,1,1,0,,,,,r0015|r0016|r0017|r0020,0,,0,,0,,0,
20052,4,cloud_0,1,5,1,1,0,,,,,r0002|r0004|r0005|r0014|r0022,0,,0,,0,,0,
20053,0,cloud_0,1,1,1,1,0,,,,,r0010,0,,0,,0,,0,
20053,1,cloud_0,1,1,1,1,0,,,,,r0013,0,,0,,0,,0,
20053,2,cloud_0,1,1,1,1,0,,,,,r0021,0,,0,,0,,0,
20053,3,cloud_0,1,1,1,1,0,,,,,r0002,0,,0,,0,,0,
20053,4,cloud_0,1,1,1,1,0,,,,,r0003,0,,0,,0,,0,
20053,5,cloud_0,1,1,1,1,0,,,,,r0014,0,,0,,0,,0,
20053,6,cloud_0,1,3,1,4,1,0.03260992140026721,0.21930183376221635,0.042483359611388466,r0000|r0006|r0022,r0006|r0019|r0022,0,,0,,1,0.042483359611388466,1,0.042483359611388466
20053,7,cloud_0,1,1,1,1,0,,,,,r0000,0,,0,,0,,0,
20053,8,cloud_0,1,1,1,1,0,,,,,r0004,0,,0,,0,,0,
20053,9,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20054,0,cloud_0,1,1,1,1,0,,,,,r0008,0,,0,,0,,0,
20054,1,cloud_0,1,3,1,7,3,0.2675288557213996,2.031830801915935,0.04541970325254718,r0002|r0015|r0016,r0002|r0003|r0021,0,,0,,0,,0,
20054,2,cloud_0,1,4,1,5,0,,,,,r0013|r0015|r0016|r0023,0,,0,,0,,0,
20054,3,cloud_0,1,4,1,1,0,,,,,r0000|r0019|r0020|r0022,0,,0,,0,,0,
20055,0,cloud_0,1,1,1,1,0,,,,,r0007,0,,0,,0,,0,
20055,1,cloud_0,1,5,1,16,0,,,,,r0004|r0005|r0006|r0010|r0016,0,,0,,0,,0,
