method,baseline,condition_name,condition,metric,metric_label,improvement,unit
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,0.16666666666667052,percentage points
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,0.502565595797015,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,0.7856604690813812,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,41.65496902028696,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,41.58737256086141,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,20.16666666666667,percentage points
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,13.865490407093093,%
Ours w/o DDQN,LECU-RBA (adapted),arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,83.6329816590044,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,44.829658707781334,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,39.375868605744884,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,12.83333333333333,percentage points
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,11.854071212967611,%
Ours w/o DDQN,DyBAP-Adapted,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,39.89586434182467,%
Full,NoBatch-LB,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,29.170515797184116,%
Full,NoBatch-LB,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,19.693999583935014,%
Full,NoBatch-LB,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,10.416666666666668,percentage points
Full,NoBatch-LB,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,8.401886641910895,%
Full,NoBatch-LB,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,31.024503782854325,%
Full,Fixed4-LB,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,10.365147730414852,%
Full,Fixed4-LB,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,4.470259699009193,%
Full,Fixed4-LB,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,6.583333333333341,percentage points
Full,Fixed4-LB,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,1.0156905083990675,%
Full,Fixed4-LB,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,15.219253543956118,%
Full,SeqGreedy-LB,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,8.930783112919837,%
Full,SeqGreedy-LB,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,5.510989811162444,%
Full,SeqGreedy-LB,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,6.083333333333341,percentage points
Full,SeqGreedy-LB,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,1.3359897985047244,%
Full,SeqGreedy-LB,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,14.433228380581095,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,45.890000930510574,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,44.274374331745555,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,26.083333333333343,percentage points
Full,LECU-RBA (adapted),arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,14.80972755164637,%
Full,LECU-RBA (adapted),arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,108.49905463325722,%
Full,DyBAP-Adapted,arrival_rate_rps,0.4,avg_e2e_reduction_pct,Average E2E reduction,48.83425262001552,%
Full,DyBAP-Adapted,arrival_rate_rps,0.4,p95_e2e_reduction_pct,P95 E2E reduction,42.16460035016784,%
Full,DyBAP-Adapted,arrival_rate_rps,0.4,slo_gain_pp,SLO satisfaction gain,18.75,percentage points
Full,DyBAP-Adapted,arrival_rate_rps,0.4,throughput_gain_pct,Throughput gain,12.781628530212627,%
Full,DyBAP-Adapted,arrival_rate_rps,0.4,goodput_gain_pct,Goodput gain,58.83941544082959,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,30.85745140534574,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,23.95003187436434,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,6.333333333333341,percentage points
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,16.301062380110583,%
Ours w/o DDQN,NoBatch-LB,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,31.300231401138173,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,6.713204998246241,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.6,p95_e2e_reduction_pct,P95 E2E reduction,0.9768763278367463,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.6,slo_gain_pp,SLO satisfaction gain,1.0833333333333417,percentage points
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.6,throughput_gain_pct,Throughput gain,0.8353314586219893,%
Ours w/o DDQN,Fixed4-LB,arrival_rate_rps,0.6,goodput_gain_pct,Goodput gain,3.020640887192313,%
Ours w/o DDQN,SeqGreedy-LB,arrival_rate_rps,0.6,avg_e2e_reduction_pct,Average E2E reduction,3.081334432616198,%
